"Plot","BA","TPA","biomass","bm_pa","Dom_species","Abundance","Ttl_Trees","richness.x","rel_abd","richness.y","Common.name","bm_tonpa"
"L5",106.408579337121,84,21313.8389695372,85255.3558781488,"Mixed",10,21,6,47.6,6,"Mixed",85.2553558781488
"M3",69.2354660973631,112,12486.4769557604,49945.9078230416,"Mixed",7,28,12,25,12,"Mixed",49.9459078230416
"M4",148.22884987647,116,31662.8561873966,126651.424749587,"Mixed",8,29,11,27.6,11,"Mixed",126.651424749587
"N4",96.4573664407186,104,20039.8073491018,80159.2293964073,"SUM",17,26,7,65.4,7,"Sugar maple",80.1592293964073
"O4",109.344004972819,88,21361.577751806,85446.3110072239,"SUM",12,22,8,54.5,8,"Sugar maple",85.4463110072239
"O5",75.6307888089833,76,14183.5352400456,56734.1409601825,"Mixed",9,19,6,47.4,6,"Mixed",56.7341409601825
"P4",65.4092680446785,84,11946.8198861025,47787.27954441,"SUM",13,21,7,61.9,7,"Sugar maple",47.78727954441
"P5",102.410466353115,124,20495.2781013609,81981.1124054435,"SUM",21,31,6,67.7,6,"Sugar maple",81.9811124054435
"P6",133.431293979592,120,24251.7958689327,97007.1834757307,"Mixed",10,30,7,33.3,7,"Mixed",97.0071834757307
"Q4",104.185902534706,136,16445.9323324462,65783.7293297849,"Mixed",11,34,8,32.4,8,"Mixed",65.7837293297848
"Q5",96.4231143541482,100,18468.0428220722,73872.1712882889,"Mixed",7,25,10,28,10,"Mixed",73.8721712882889
"Q6",104.616344361479,92,21205.3987250162,84821.5949000648,"SUM",13,23,8,56.5,8,"Sugar maple",84.8215949000648
"Q7",138.58786925461,140,26467.4638844501,105869.8555378,"Mixed",17,35,9,48.6,9,"Mixed",105.8698555378
"R5",139.972569849911,164,26307.4854685306,105229.941874123,"SUM",28,41,9,68.3,9,"Sugar maple",105.229941874123
"R6",78.0511241491864,112,15581.1985019366,62324.7940077465,"SUM",16,28,7,57.1,7,"Sugar maple",62.3247940077465
"S5",156.448041656424,160,29397.2814284094,117589.125713638,"Mixed",16,40,11,40,11,"Mixed",117.589125713638
